ID,Insects,Crop,Soil,Category_of_Toxicant,Does_count,Number_of_Weeks_Used,Number_Weeks_does_not_used,Season,Crop_status
1,188,Feed,silt,1,0,,0,2,1
2,410,Feed,silt,1,0,0,0,2,1
3,626,Feed,clay,1,0,0,0,2,1
4,731,Feed,clay,1,0,0,0,2,1
5,789,Food,clay,1,0,0,0,1,1
6,851,Food,silt,1,0,0,0,2,1
7,851,Feed,clay,1,0,,0,3,1
8,1056,Feed,clay,1,0,0,0,1,1
9,1576,Feed,clay,1,0,0,0,2,1
10,1576,Feed,clay,1,0,0,0,1,1
11,1576,Feed,silt,1,0,0,0,1,1
12,1898,Food,silt,1,0,,0,2,1
13,1898,Feed,clay,1,0,0,0,2,1
14,2016,Food,clay,1,0,0,0,2,1
15,2015,Food,clay,1,0,0,0,2,1
16,2267,Feed,clay,1,0,0,0,1,1
17,2541,Food,clay,1,0,0,0,2,1
18,2541,Feed,clay,1,0,0,0,2,1
19,2840,Food,clay,1,0,0,0,2,1
20,2999,Food,clay,1,0,0,0,3,1
21,3164,Food,silt,1,0,0,0,1,1
22,3336,Food,silt,1,0,,0,2,1
23,150,Food,clay,3,30,20,0,2,0
24,150,Food,clay,3,40,19,0,1,0
25,168,Food,silt,3,20,10,0,2,0
26,168,Food,silt,3,30,14,0,3,0
27,168,Food,silt,3,35,19,0,1,0
28,168,Food,silt,3,65,22,0,2,0
29,188,Food,silt,3,30,13,0,2,0
30,209,Food,clay,3,5,22,0,2,0
31,232,Food,clay,3,15,10,0,1,0
32,231,Food,clay,3,35,26,0,2,0
33,232,Food,silt,3,40,17,0,3,0
34,256,Food,silt,3,25,15,0,1,0
35,256,Food,silt,3,40,25,0,2,0
36,311,Food,clay,3,30,18,0,2,0
37,312,Food,clay,3,30,29,0,2,0
38,312,Food,silt,3,10,23,0,2,0
39,342,Food,silt,3,60,27,0,3,0
40,375,Food,clay,3,30,,0,1,0
41,375,Food,silt,3,20,34,0,2,0
42,375,Food,silt,3,30,16,0,3,0
43,375,Food,silt,3,40,22,0,3,0
44,375,Food,silt,3,60,26,0,1,0
45,375,Food,silt,3,60,35,0,2,0
46,375,Food,silt,3,30,28,0,2,0
47,410,Food,clay,3,35,21,0,2,0
48,410,Food,silt,3,20,12,0,2,0
49,410,Food,silt,3,30,23,0,2,0
50,411,Food,silt,3,60,27,0,1,0
51,410,Food,silt,3,80,31,0,1,0
52,410,Food,silt,3,10,27,0,2,0
53,448,Food,clay,3,25,33,0,3,0
54,448,Food,silt,3,50,28,0,2,0
55,448,Food,silt,3,30,31,0,2,0
56,448,Food,silt,3,40,28,0,2,0
57,488,Food,clay,3,35,24,0,3,0
58,489,Food,clay,3,60,,0,3,0
59,488,Food,silt,3,5,10,0,2,0
60,489,Food,silt,3,10,19,0,2,0
61,489,Food,silt,3,10,31,0,1,0
62,488,Food,silt,3,10,36,0,2,0
63,488,Food,silt,3,50,26,0,2,0
64,489,Food,silt,3,25,29,0,2,0
65,531,Food,silt,3,10,38,0,2,0
66,531,Food,silt,3,40,,0,3,0
67,531,Food,silt,3,45,30,0,3,0
68,531,Food,silt,3,45,32,0,3,0
69,531,Food,silt,3,20,28,0,1,0
70,577,Food,clay,3,40,34,0,1,0
71,577,Food,silt,3,5,6,0,2,0
72,577,Food,silt,3,10,22,0,2,0
73,577,Food,silt,3,20,41,0,1,0
74,625,Food,clay,3,10,18,0,1,0
75,626,Food,clay,3,60,25,0,1,0
76,625,Food,silt,3,15,31,0,2,0
77,626,Food,silt,3,10,24,0,2,0
78,677,Food,clay,3,5,35,0,3,0
79,677,Food,clay,3,15,27,0,1,0
80,677,Food,clay,3,10,,0,3,0
81,677,Food,silt,3,20,36,0,2,0
82,677,Food,silt,3,30,20,0,2,0
83,677,Food,silt,3,65,34,0,2,0
84,677,Food,silt,3,80,38,0,2,0
85,732,Food,clay,3,20,10,0,2,0
86,732,Food,clay,3,35,25,0,2,0
87,731,Food,clay,3,5,34,0,2,0
88,731,Food,clay,3,30,33,0,2,0
89,731,Food,silt,3,30,,0,2,0
90,731,Food,silt,3,25,32,0,1,0
91,732,Food,silt,3,10,30,0,2,0
92,732,Food,silt,3,25,32,0,1,0
93,789,Food,clay,3,10,20,0,3,0
94,789,Food,clay,3,30,30,0,3,0
95,790,Food,clay,3,40,,0,2,0
